StopId,Station,Platform
600000,Bowen Hills,2
600002,Bowen Hills,3
600003,Exhibition,2
600004,Exhibition,3
600005,Bowen Hills,1
600006,South Bank,1
600007,Bowen Hills,4
600010,Fortitude Valley,3
600011,Fortitude Valley,4
600012,South Brisbane,1
600013,Fortitude Valley,2
600014,Fortitude Valley,1
600016,Central,3
600017,Central,2
600018,Central,1
600019,Central,5
600020,Central,4
600024,Central,6
600028,Roma Street,7
600029,Roma Street,8
600030,Roma Street,6
600033,Roma Street,3
600034,Roma Street,5
600035,Roma Street,10
600036,Roma Street,4
600038,Roma Street,9
600051,Dutton Park,1
600052,Fairfield,1
600053,Yeronga,1
600054,Yeerongpilly,2
600085,Boggo Road,1
600087,Springfield,2
600088,Springfield,1
600089,Springfield Central,1
600090,Springfield Central,2
600117,Varsity Lakes,2
600118,Robina,1
600119,Helensvale,1
600120,Nerang,2
600185,Nerang,1
600186,South Brisbane,2
600187,South Brisbane,3
600188,South Bank,2
600189,South Bank,3
600190,Boggo Road,2
600191,Boggo Road,3
600192,Boggo Road,4
600193,Dutton Park,2
600194,Fairfield,2
600195,Yeronga,2
600196,Yeerongpilly,3
600197,Moorooka,1
600198,Moorooka,2
600199,Rocklea,1
600200,Rocklea,2
600203,Coopers Plains,1
600204,Coopers Plains,2
600205,Coopers Plains,3
600206,Banoon,1
600207,Banoon,2
600208,Banoon,3
600209,Sunnybank,1
600210,Sunnybank,2
600211,Sunnybank,3
600212,Altandi,1
600213,Altandi,2
600214,Altandi,3
600215,Runcorn,1
600216,Runcorn,2
600217,Runcorn,3
600218,Fruitgrove,1
600219,Fruitgrove,2
600220,Fruitgrove,3
600221,Kuraby,1
600222,Kuraby,2
600223,Kuraby,3
600224,Trinder Park,1
600225,Trinder Park,2
600226,Woodridge,1
600227,Woodridge,2
600228,Kingston,1
600229,Kingston,2
600230,Loganlea,1
600231,Loganlea,2
600232,Bethania,1
600233,Bethania,2
600234,Bethania,3
600235,Edens Landing,1
600236,Edens Landing,2
600237,Holmview,1
600238,Holmview,2
600239,Beenleigh,1
600240,Beenleigh,2
600241,Ormeau,1
600242,Ormeau,2
600243,Coomera,1
600244,Coomera,2
600245,Helensvale,2
600246,Robina,2
600247,Varsity Lakes,1
600248,Buranda,1
600249,Buranda,2
