stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,
600000,600000,"Bowen Hills station, platform 2",,-27.44539,153.037634,
600002,600002,"Bowen Hills station, platform 3",,-27.445482,153.037641,
600005,600005,"Bowen Hills station, platform 1",,-27.445402,153.037717,
600006,600006,"South Bank station, platform 1",,-27.481832,153.022995,
600007,600007,"Bowen Hills station, platform 4",,-27.445437,153.037549,
600010,600010,"Fortitude Valley station, platform 3",,-27.456047,153.033705,
600011,600011,"Fortitude Valley station, platform 4",,-27.456021,153.03358,
600012,600012,"South Brisbane station, platform 1",,-27.475067,153.018521,
600013,600013,"Fortitude Valley station, platform 2",,-27.456111,153.033637,
600014,600014,"Fortitude Valley station, platform 1",,-27.456135,153.033762,
600016,600016,"Central station, platform 3",,-27.465737,153.026028,
600017,600017,"Central station, platform 2",,-27.465769,153.025981,
600018,600018,"Central station, platform 1",,-27.465841,153.026069,
600019,600019,"Central station, platform 5",,-27.465647,153.025962,
600020,600020,"Central station, platform 4",,-27.465687,153.025902,
600024,600024,"Central station, platform 6",,-27.465594,153.025827,
600028,600028,"Roma Street station, platform 7",,-27.465246,153.019689,
600029,600029,"Roma Street station, platform 8",,-27.46528,153.019804,
600030,600030,"Roma Street station, platform 6",,-27.46544,153.019736,
600034,600034,"Roma Street station, platform 5",,-27.46541,153.019624,
600036,600036,"Roma Street station, platform 4",,-27.465583,153.019616,
600038,600038,"Roma Street station, platform 9",,-27.465057,153.01979,
600051,600051,"Dutton Park station, platform 1",,-27.499728,153.0291,
600052,600052,"Fairfield station, platform 1",,-27.509462,153.028009,
600053,600053,"Yeronga station, platform 1",,-27.517787,153.016898,
600054,600054,"Yeerongpilly station, platform 2",,-27.5253,153.014053,
600087,600087,"Springfield station, platform 2",,-27.660648,152.921424,
600088,600088,"Springfield station, platform 1",,-27.66055,152.921296,
600089,600089,"Springfield Central station, platform 1",,-27.674192,152.902811,
600090,600090,"Springfield Central station, platform 2",,-27.674345,152.902841,
600117,600117,"Varsity Lakes station, platform 2",,-28.097249,153.399314,
600118,600118,"Robina station, platform 1",,-28.071716,153.3781,
600119,600119,"Helensvale station, platform 1",,-27.9255,153.339068,
600120,600120,"Nerang station, platform 2",,-27.994311,153.350029,
600185,600185,"Nerang station, platform 1",,-27.994317,153.350122,
600186,600186,"South Brisbane station, platform 2",,-27.475122,153.018455,
600187,600187,"South Brisbane station, platform 3",,-27.47509,153.018431,
600188,600188,"South Bank station, platform 2",,-27.481845,153.022914,
600189,600189,"South Bank station, platform 3",,-27.48189,153.02294,
600193,600193,"Dutton Park station, platform 2",,-27.499775,153.029068,
600194,600194,"Fairfield station, platform 2",,-27.509522,153.027977,
600195,600195,"Yeronga station, platform 2",,-27.517741,153.016927,
600196,600196,"Yeerongpilly station, platform 3",,-27.525269,153.01391,
600197,600197,"Moorooka station, platform 1",,-27.535845,153.014027,
600198,600198,"Moorooka station, platform 2",,-27.535831,153.013948,
600199,600199,"Rocklea station, platform 1",,-27.544514,153.013974,
600200,600200,"Rocklea station, platform 2",,-27.544554,153.014024,
600203,600203,"Coopers Plains station, platform 1",,-27.567159,153.035859,
600204,600204,"Coopers Plains station, platform 2",,-27.567254,153.035803,
600205,600205,"Coopers Plains station, platform 3",,-27.567139,153.035766,
600206,600206,"Banoon station, platform 1",,-27.576573,153.046599,
600207,600207,"Banoon station, platform 2",,-27.576637,153.046536,
600208,600208,"Banoon station, platform 3",,-27.576554,153.046497,
600209,600209,"Sunnybank station, platform 1",,-27.580765,153.053911,
600210,600210,"Sunnybank station, platform 2",,-27.580909,153.053944,
600211,600211,"Sunnybank station, platform 3",,-27.580911,153.053804,
600212,600212,"Altandi station, platform 1",,-27.582799,153.063808,
600213,600213,"Altandi station, platform 2",,-27.582634,153.063586,
600214,600214,"Altandi station, platform 3",,-27.58279,153.063664,
600215,600215,"Runcorn station, platform 1",,-27.592412,153.068614,
600216,600216,"Runcorn station, platform 2",,-27.592535,153.0686,
600217,600217,"Runcorn station, platform 3",,-27.592492,153.068543,
600218,600218,"Fruitgrove station, platform 1",,-27.598329,153.080081,
600219,600219,"Fruitgrove station, platform 2",,-27.598381,153.079958,
600220,600220,"Fruitgrove station, platform 3",,-27.598421,153.080057,
600221,600221,"Kuraby station, platform 1",,-27.604958,153.091641,
600222,600222,"Kuraby station, platform 2",,-27.605087,153.091575,
600223,600223,"Kuraby station, platform 3",,-27.605035,153.091491,
600224,600224,"Trinder Park station, platform 1",,-27.631755,153.097875,
600225,600225,"Trinder Park station, platform 2",,-27.631798,153.097882,
600226,600226,"Woodridge station, platform 1",,-27.638053,153.103835,
600227,600227,"Woodridge station, platform 2",,-27.638135,153.10377,
600228,600228,"Kingston station, platform 1",,-27.657283,153.117992,
600229,600229,"Kingston station, platform 2",,-27.657385,153.117958,
600230,600230,"Loganlea station, platform 1",,-27.670818,153.13812,
600231,600231,"Loganlea station, platform 2",,-27.670838,153.138188,
600232,600232,"Bethania station, platform 1",,-27.688088,153.15838,
600233,600233,"Bethania station, platform 2",,-27.688189,153.158345,
600234,600234,"Bethania station, platform 3",,-27.688124,153.158276,
600235,600235,"Edens Landing station, platform 1",,-27.698208,153.170404,
600236,600236,"Edens Landing station, platform 2",,-27.698205,153.170479,
600237,600237,"Holmview station, platform 1",,-27.709612,153.187577,
600238,600238,"Holmview station, platform 2",,-27.709673,153.1875,
600239,600239,"Beenleigh station, platform 1",,-27.717459,153.204539,
600240,600240,"Beenleigh station, platform 2",,-27.717539,153.204472,
600241,600241,"Ormeau station, platform 1",,-27.799141,153.282359,
600242,600242,"Ormeau station, platform 2",,-27.799196,153.282438,
600243,600243,"Coomera station, platform 1",,-27.852816,153.317656,
600244,600244,"Coomera station, platform 2",,-27.852886,153.317526,
600245,600245,"Helensvale station, platform 2",,-27.925491,153.338919,
600246,600246,"Robina station, platform 2",,-28.071734,153.377992,
600247,600247,"Varsity Lakes station, platform 1",,-28.097154,153.399411,
600250,600250,"Coorparoo station, platform 2",,-27.489563,153.055126,
600251,600251,"Coorparoo station, platform 1",,-27.489617,153.055233,
600252,600252,"Norman Park station, platform 1",,-27.481618,153.062243,
600253,600253,"Norman Park station, platform 2",,-27.481669,153.062273,
600254,600254,"Morningside station, platform 1",,-27.470874,153.069393,
600255,600255,"Morningside station, platform 2",,-27.470954,153.069551,
600256,600256,"Cannon Hill station, platform 1",,-27.46538,153.088239,
600257,600257,"Cannon Hill station, platform 2",,-27.465364,153.088341,
600258,600258,"Murarrie station, platform 2",,-27.464642,153.105656,
600259,600259,"Murarrie station, platform 1",,-27.464662,153.105562,
600260,600260,"Hemmant station, platform 1",,-27.447316,153.127344,
600261,600261,"Hemmant station, platform 2",,-27.447389,153.127372,
600262,600262,"Lindum station, platform 2",,-27.441902,153.144962,
600263,600263,"Lindum station, platform 1",,-27.441942,153.144876,
600264,600264,"Wynnum North station, platform 2",,-27.437232,153.158698,
600265,600265,"Wynnum North station, platform 1",,-27.437207,153.158588,
600266,600266,"Wynnum station, platform 1",,-27.43969,153.166196,
600267,600267,"Wynnum station, platform 2",,-27.439728,153.166087,
600269,600269,"Lota station, platform 1",,-27.470014,153.188519,
600270,600270,"Lota station, platform 2",,-27.470004,153.188414,
600271,600271,"Thorneside station, platform 1",,-27.486124,153.192703,
600272,600272,"Thorneside station, platform 2",,-27.486191,153.192607,
600273,600273,"Birkdale station, platform 1",,-27.494073,153.218722,
600274,600274,"Wellington Point station, platform 2",,-27.494486,153.241936,
600275,600275,"Wellington Point station, platform 1",,-27.494311,153.242013,
600276,600276,"Ormiston station, platform 1",,-27.514525,153.255831,
600277,600277,"Cleveland station, platform 1",,-27.524199,153.265926,
600278,600278,"Cleveland station, platform 2",,-27.524287,153.265929,
600279,600279,"Milton station, platform 1",,-27.468965,153.005197,
600280,600280,"Milton station, platform 2",,-27.46893,153.005299,
600281,600281,"Milton station, platform 3",,-27.468814,153.005241,
600282,600282,"Milton station, platform 4",,-27.468852,153.005125,
600283,600283,"Auchenflower station, platform 1",,-27.476098,152.996936,
600284,600284,"Auchenflower station, platform 2",,-27.476127,152.996928,
600285,600285,"Auchenflower station, platform 3",,-27.4761,152.996863,
600286,600286,"Auchenflower station, platform 4",,-27.47607,152.996875,
600287,600287,"Toowong station, platform 1",,-27.485334,152.993169,
600288,600288,"Toowong station, platform 2",,-27.485269,152.993086,
600289,600289,"Toowong station, platform 3",,-27.485376,152.993056,
600290,600290,"Toowong station, platform 4",,-27.48531,152.99297,
600291,600291,"Taringa station, platform 1",,-27.493243,152.981426,
600292,600292,"Taringa station, platform 2",,-27.493172,152.981428,
600293,600293,"Taringa station, platform 3",,-27.493188,152.981371,
600294,600294,"Taringa station, platform 4",,-27.493115,152.981372,
600295,600295,"Indooroopilly station, platform 1",,-27.503071,152.975837,
600296,600296,"Indooroopilly station, platform 2",,-27.503012,152.975773,
600297,600297,"Indooroopilly station, platform 3",,-27.50306,152.975732,
600298,600298,"Indooroopilly station, platform 4",,-27.502975,152.975693,
600299,600299,"Chelmer station, platform 1",,-27.512172,152.972908,
600300,600300,"Chelmer station, platform 2",,-27.51216,152.972761,
600301,600301,"Chelmer station, platform 3",,-27.51223,152.972761,
600302,600302,"Chelmer station, platform 4",,-27.512188,152.972629,
600303,600303,"Graceville station, platform 1",,-27.520674,152.976024,
600304,600304,"Graceville station, platform 2",,-27.520676,152.975915,
600305,600305,"Graceville station, platform 3",,-27.520823,152.975982,
600306,600306,"Graceville station, platform 4",,-27.520759,152.975841,
